yourlist:M20191006E5A08BB0B2D1C45B0C7BC3B55FD265564BC80E0	Entry	Protein names
Q969T7	Q969T7	7-methylguanosine phosphate-specific 5'-nucleotidase (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3B) (Cytosolic 5'-nucleotidase III-like protein) (cN-III-like protein) (EC 3.1.3.5) (N(7)-methylguanylate 5'-phosphatase)
Q96E14	Q96E14	RecQ-mediated genome instability protein 2 (hRMI2) (BLM-associated protein of 18 kDa) (BLAP18)
O75185	O75185	Calcium-transporting ATPase type 2C member 2 (ATPase 2C2) (EC 7.2.2.10) (Secretory pathway Ca(2+)-ATPase 2)
P98194	P98194	Calcium-transporting ATPase type 2C member 1 (ATPase 2C1) (EC 7.2.2.10) (ATP-dependent Ca(2+) pump PMR1)
Q86SX3	Q86SX3	Tubulin epsilon and delta complex protein 1
P33260	P33260	Cytochrome P450 2C18 (EC 1.14.14.1) (CYPIIC18) (Cytochrome P450-6b/29c)
Q8IWD4	Q8IWD4	Coiled-coil domain-containing protein 117
Q9C075	Q9C075	Keratin, type I cytoskeletal 23 (Cytokeratin-23) (CK-23) (Keratin-23) (K23)
Q8IVL0	Q8IVL0	Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1) (Steerin-3) (Unc-53 homolog 3) (unc53H3)
Q9NRR8	Q9NRR8	CDC42 small effector protein 1 (CDC42-binding protein SCIP1) (Small effector of CDC42 protein 1)
Q96EV2	Q96EV2	RNA-binding protein 33 (Proline-rich protein 8) (RNA-binding motif protein 33)
Q6PJG2	Q6PJG2	ELM2 and SANT domain-containing protein 1 (MIDEAS)
P52746	P52746	Zinc finger protein 142
Q68DE3	Q68DE3	Basic helix-loop-helix domain-containing protein USF3 (Upstream transcription factor 3)
Q9Y2H5	Q9Y2H5	Pleckstrin homology domain-containing family A member 6 (PH domain-containing family A member 6) (Phosphoinositol 3-phosphate-binding protein 3) (PEPP-3)
O94964	O94964	Protein SOGA1 (SOGA family member 1) (Suppressor of glucose by autophagy) (Suppressor of glucose, autophagy-associated protein 1) [Cleaved into: N-terminal form; C-terminal 80 kDa form (80-kDa SOGA fragment)]
Q5T764	Q5T764	Interferon-induced protein with tetratricopeptide repeats 1B (Interferon-induced protein with tetratricopeptide repeats 1-like protein)
Q96JM3	Q96JM3	Chromosome alignment-maintaining phosphoprotein 1 (Zinc finger protein 828)
P48065	P48065	Sodium- and chloride-dependent betaine transporter (BGT-1) (Na(+)/Cl(-) betaine/GABA transporter) (Solute carrier family 6 member 12)
Q8IXT5	Q8IXT5	RNA-binding protein 12B (RNA-binding motif protein 12B)
O43760	O43760	Synaptogyrin-2 (Cellugyrin)
Q9ULC3	Q9ULC3	Ras-related protein Rab-23
Q8N6R0	Q8N6R0	eEF1A lysine and N-terminal methyltransferase (eEF1A-KNMT) (Methyltransferase-like protein 13) [Includes: eEF1A lysine methyltransferase (EC 2.1.1.-); eEF1A N-terminal methyltransferase (EC 2.1.1.-)]
Q96EN8	Q96EN8	Molybdenum cofactor sulfurase (MCS) (MOS) (MoCo sulfurase) (hMCS) (EC 2.8.1.9) (Molybdenum cofactor sulfurtransferase)
Q13508	Q13508	Ecto-ADP-ribosyltransferase 3 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 3) (ARTC3) (Mono(ADP-ribosyl)transferase 3) (NAD(P)(+)--arginine ADP-ribosyltransferase 3)
P30837	P30837	Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)
P50135	P50135	Histamine N-methyltransferase (HMT) (EC 2.1.1.8)
O75752	O75752	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1 (Beta-1,3-GalNAc-T1) (EC 2.4.1.79) (Beta-1,3-galactosyltransferase 3) (Beta-1,3-GalTase 3) (Beta3Gal-T3) (Beta3GalT3) (b3Gal-T3) (Beta-3-Gx-T3) (Galactosylgalactosylglucosylceramide beta-D-acetyl-galactosaminyltransferase) (Globoside synthase) (UDP-N-acetylgalactosamine:globotriaosylceramide beta-1,3-N-acetylgalactosaminyltransferase)
Q16878	Q16878	Cysteine dioxygenase type 1 (EC 1.13.11.20) (Cysteine dioxygenase type I) (CDO) (CDO-I)
Q12794	Q12794	Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Lung carcinoma protein 1) (LuCa-1)
Q9H8P0	Q9H8P0	Polyprenol reductase (EC 1.3.1.94) (3-oxo-5-alpha-steroid 4-dehydrogenase 3) (EC 1.3.1.22) (Steroid 5-alpha-reductase 2-like) (Steroid 5-alpha-reductase 3) (S5AR 3) (SR type 3)
Q01151	Q01151	CD83 antigen (hCD83) (B-cell activation protein) (Cell surface protein HB15) (CD antigen CD83)
Q06136	Q06136	3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1) (FVT-1) (Short chain dehydrogenase/reductase family 35C member 1)
O75900	O75900	Matrix metalloproteinase-23 (MMP-23) (EC 3.4.24.-) (Femalysin) (MIFR-1) (Matrix metalloproteinase-21) (MMP-21) (Matrix metalloproteinase-22) (MMP-22) [Cleaved into: Matrix metalloproteinase-23, soluble form]
P24298	P24298	Alanine aminotransferase 1 (ALT1) (EC 2.6.1.2) (Glutamate pyruvate transaminase 1) (GPT 1) (Glutamic--alanine transaminase 1) (Glutamic--pyruvic transaminase 1)
Q8WUM9	Q8WUM9	Sodium-dependent phosphate transporter 1 (Gibbon ape leukemia virus receptor 1) (GLVR-1) (Leukemia virus receptor 1 homolog) (Phosphate transporter 1) (PiT-1) (Solute carrier family 20 member 1)
O43529	O43529	Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST)
P32245	P32245	Melanocortin receptor 4 (MC4-R)
O95178	O95178	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial (Complex I-AGGG) (CI-AGGG) (NADH-ubiquinone oxidoreductase AGGG subunit)
Q9Y5L3	Q9Y5L3	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.-) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)
Q13488	Q13488	V-type proton ATPase 116 kDa subunit a isoform 3 (V-ATPase 116 kDa isoform a3) (Osteoclastic proton pump 116 kDa subunit) (OC-116 kDa) (OC116) (T-cell immune regulator 1) (T-cell immune response cDNA7 protein) (TIRC7) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 3)
P56180	P56180	Putative tyrosine-protein phosphatase TPTE (EC 3.1.3.48) (Cancer/testis antigen 44) (CT44) (Transmembrane phosphatase with tensin homology) (Tumor antigen BJ-HCC-5)
O60909	O60909	Beta-1,4-galactosyltransferase 2 (Beta-1,4-GalTase 2) (Beta4Gal-T2) (b4Gal-T2) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2)
Q9H3S5	Q9H3S5	GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M)
P23919	P23919	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)
Q9ULI2	Q9ULI2	Beta-citrylglutamate synthase B (EC 6.3.1.17) (N-acetyl-aspartylglutamate synthetase B) (NAAG synthetase B) (NAAGS) (EC 6.3.2.41) (Ribosomal protein S6 modification-like protein B)
Q9NYL5	Q9NYL5	24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.26) (Cytochrome P450 39A1) (hCYP39A1) (Oxysterol 7-alpha-hydroxylase)
Q96IC2	Q96IC2	RNA exonuclease 5 (EC 3.1.-.-) (Exonuclease NEF-sp)
O43325	O43325	LYR motif-containing protein 1
Q8N2H3	Q8N2H3	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2 (EC 1.-.-.-)
Q9NYL4	Q9NYL4	Peptidyl-prolyl cis-trans isomerase FKBP11 (PPIase FKBP11) (EC 5.2.1.8) (19 kDa FK506-binding protein) (19 kDa FKBP) (FKBP-19) (FK506-binding protein 11) (FKBP-11) (Rotamase)
Q9H6D8	Q9H6D8	Fibronectin type III domain-containing protein 4 (Fibronectin type III repeat-containing protein 1)
Q9BVS5	Q9BVS5	tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial (EC 2.1.1.220) (mRNA methyladenosine-N(1)-methyltransferase) (EC 2.1.1.-)
O76093	O76093	Fibroblast growth factor 18 (FGF-18) (zFGF5)
Q9HD34	Q9HD34	LYR motif-containing protein 4
Q96GR4	Q96GR4	Probable palmitoyltransferase ZDHHC12 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 12) (DHHC-12) (Zinc finger protein 400)
O60669	O60669	Monocarboxylate transporter 2 (MCT 2) (Solute carrier family 16 member 7)
P52429	P52429	Diacylglycerol kinase epsilon (DAG kinase epsilon) (EC 2.7.1.107) (Diglyceride kinase epsilon) (DGK-epsilon)
Q9H808	Q9H808	Transducin-like enhancer protein 6
O75325	O75325	Leucine-rich repeat neuronal protein 2 (Glioma amplified on chromosome 1 protein) (Leucine-rich repeat neuronal protein 5)
Q9BRR3	Q9BRR3	Transmembrane protein 246
Q9ULX7	Q9ULX7	Carbonic anhydrase 14 (EC 4.2.1.1) (Carbonate dehydratase XIV) (Carbonic anhydrase XIV) (CA-XIV)
Q969W8	Q969W8	Zinc finger protein 566
O95147	O95147	Dual specificity protein phosphatase 14 (EC 3.1.3.16) (EC 3.1.3.48) (MKP-1-like protein tyrosine phosphatase) (MKP-L) (Mitogen-activated protein kinase phosphatase 6) (MAP kinase phosphatase 6) (MKP-6)
P11801	P11801	Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1)
Q9UJJ7	Q9UJJ7	RNA pseudouridylate synthase domain-containing protein 1 (Ribosomal large subunit pseudouridine synthase C-like protein)
Q8IWW8	Q8IWW8	Hydroxyacid-oxoacid transhydrogenase, mitochondrial (HOT) (EC 1.1.99.24) (Alcohol dehydrogenase iron-containing protein 1) (ADHFe1) (Fe-containing alcohol dehydrogenase)
O00341	O00341	Excitatory amino acid transporter 5 (Retinal glutamate transporter) (Solute carrier family 1 member 7)
Q6PF06	Q6PF06	tRNA methyltransferase 10 homolog B (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 3) (tRNA (guanine(9)-N(1))-methyltransferase TRMT10B)
Q8NHV9	Q8NHV9	Rhox homeobox family member 1 (Ovary-, testis- and epididymis-expressed gene protein) (Paired-like homeobox protein PEPP-1)
Q5VZI3	Q5VZI3	Transmembrane protein 268
Q8IZ81	Q8IZ81	ELMO domain-containing protein 2
Q9BTP6	Q9BTP6	Zinc finger BED domain-containing protein 2
Q9H310	Q9H310	Ammonium transporter Rh type B (Rhesus blood group family type B glycoprotein) (Rh family type B glycoprotein) (Rh type B glycoprotein)
Q8N328	Q8N328	PiggyBac transposable element-derived protein 3
Q8NCF0	Q8NCF0	C-type lectin domain family 18 member C (Mannose receptor-like protein 3)
Q9NZH0	Q9NZH0	G-protein coupled receptor family C group 5 member B (A-69G12.1) (Retinoic acid-induced gene 2 protein) (RAIG-2)
Q969M1	Q969M1	Mitochondrial import receptor subunit TOM40B (Protein TOMM40-like)
Q86YI8	Q86YI8	PHD finger protein 13 (Survival time-associated PHD finger protein in ovarian cancer 1) (SPOC1)
Q86XU0	Q86XU0	Zinc finger protein 677
P49908	P49908	Selenoprotein P (SeP)
Q9H488	Q9H488	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)
Q687X5	Q687X5	Metalloreductase STEAP4 (EC 1.16.1.9) (Six-transmembrane epithelial antigen of prostate 4) (SixTransMembrane protein of prostate 2) (Tumor necrosis factor, alpha-induced protein 9)
P54840	P54840	Glycogen [starch] synthase, liver (EC 2.4.1.11)
P06133	P06133	UDP-glucuronosyltransferase 2B4 (UDPGT 2B4) (EC 2.4.1.17) (HLUG25) (Hyodeoxycholic acid-specific UDPGT) (UDPGTh-1)
Q5T3F8	Q5T3F8	CSC1-like protein 2 (Transmembrane protein 63B)
Q0VDG4	Q0VDG4	Secernin-3
Q6ICB0	Q6ICB0	Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Polyubiquitinated substrate transporter) (POST)
Q9BYH8	Q9BYH8	NF-kappa-B inhibitor zeta (I-kappa-B-zeta) (IkB-zeta) (IkappaBzeta) (IL-1 inducible nuclear ankyrin-repeat protein) (INAP) (Molecule possessing ankyrin repeats induced by lipopolysaccharide) (MAIL)
A5PL33	A5PL33	Protein KRBA1
Q9ULD0	Q9ULD0	2-oxoglutarate dehydrogenase-like, mitochondrial (EC 1.2.4.-) (2-oxoglutarate dehydrogenase complex component E1-like) (OGDC-E1-like) (Alpha-ketoglutarate dehydrogenase-like)
Q96Q06	Q96Q06	Perilipin-4 (Adipocyte protein S3-12)
Q8WWV6	Q8WWV6	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor (Fc alpha/mu receptor) (CD antigen CD351)
Q9H329	Q9H329	Band 4.1-like protein 4B (FERM-containing protein CG1) (Protein EHM2)
O95478	O95478	Ribosome biogenesis protein NSA2 homolog (Hairy cell leukemia protein 1) (TGF-beta-inducible nuclear protein 1)
Q92626	Q92626	Peroxidasin homolog (EC 1.11.1.7) (Melanoma-associated antigen MG50) (Vascular peroxidase 1) (p53-responsive gene 2 protein)
Q8NBQ7	Q8NBQ7	Aquaporin-11 (AQP-11)
Q6ZMB5	Q6ZMB5	Transmembrane protein 184A
Q9H7T3	Q9H7T3	Uncharacterized protein C10orf95
Q8TAP8	Q8TAP8	Protein phosphatase 1 regulatory subunit 35
Q5VZQ5	Q5VZQ5	Testis-expressed protein 36
Q3B726	Q3B726	DNA-directed RNA polymerase I subunit RPA43 (Twist neighbor protein)
Q9NRG7	Q9NRG7	Epimerase family protein SDR39U1 (EC 1.1.1.-) (Short-chain dehydrogenase/reductase family 39U member 1)
Q6ZMY3	Q6ZMY3	SPOC domain-containing protein 1
Q8TD46	Q8TD46	Cell surface glycoprotein CD200 receptor 1 (CD200 cell surface glycoprotein receptor) (Cell surface glycoprotein OX2 receptor 1)
Q6UXZ3	Q6UXZ3	CMRF35-like molecule 5 (CLM-5) (CD300 antigen-like family member D) (CMRF35-A4) (CD antigen CD300d)
P31997	P31997	Carcinoembryonic antigen-related cell adhesion molecule 8 (CD67 antigen) (Carcinoembryonic antigen CGM6) (Non-specific cross-reacting antigen NCA-95) (CD antigen CD66b)
Q9NYZ4	Q9NYZ4	Sialic acid-binding Ig-like lectin 8 (Siglec-8) (Sialoadhesin family member 2) (SAF-2)
A4FU49	A4FU49	SH3 domain-containing protein 21
Q6UWJ1	Q6UWJ1	Transmembrane and coiled-coil domain-containing protein 3 (Putative LAG1-interacting protein)
Q4KWH8	Q4KWH8	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-1) (Phospholipase C-eta-1) (PLC-eta-1) (Phospholipase C-like protein 3) (PLC-L3)
Q6N043	Q6N043	Zinc finger protein 280D (Suppressor of hairy wing homolog 4) (Zinc finger protein 634)
Q969Q0	Q969Q0	60S ribosomal protein L36a-like (Large ribosomal subunit protein eL42-like)
Q9BSK2	Q9BSK2	Solute carrier family 25 member 33 (Bone marrow stromal cell mitochondrial carrier protein) (BMSC-MCP) (HuBMSC-MCP) (Protein PNC1)
Q9UDV7	Q9UDV7	Zinc finger protein 282 (HTLV-I U5RE-binding protein 1) (HUB-1)
Q9UPN7	Q9UPN7	Serine/threonine-protein phosphatase 6 regulatory subunit 1 (SAPS domain family member 1)
Q27J81	Q27J81	Inverted formin-2 (HBEBP2-binding protein C)
Q9P2M4	Q9P2M4	TBC1 domain family member 14
Q8IZA0	Q8IZA0	Dyslexia-associated protein KIAA0319-like protein (Adeno-associated virus receptor) (AAVR)
Q6P6C2	Q6P6C2	RNA demethylase ALKBH5 (EC 1.14.11.53) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5)
Q14692	Q14692	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)
Q8ND56	Q8ND56	Protein LSM14 homolog A (Protein FAM61A) (Protein SCD6 homolog) (Putative alpha-synuclein-binding protein) (AlphaSNBP) (RNA-associated protein 55A) (hRAP55) (hRAP55A)
Q9Y5J1	Q9Y5J1	U3 small nucleolar RNA-associated protein 18 homolog (WD repeat-containing protein 50)
Q9BXY0	Q9BXY0	Protein MAK16 homolog (NNP78) (Protein RBM13)
Q9UK39	Q9UK39	Nocturnin (EC 3.1.3.-) (Carbon catabolite repression 4-like protein)
Q15773	Q15773	Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2)
Q96JQ2	Q96JQ2	Calmin (Calponin-like transmembrane domain protein)
Q86YW9	Q86YW9	Mediator of RNA polymerase II transcription subunit 12-like protein (Mediator complex subunit 12-like protein) (Thyroid hormone receptor-associated-like protein) (Trinucleotide repeat-containing gene 11 protein-like)
Q3T8J9	Q3T8J9	GON-4-like protein (GON-4 homolog)
Q9P2N4	Q9P2N4	A disintegrin and metalloproteinase with thrombospondin motifs 9 (ADAM-TS 9) (ADAM-TS9) (ADAMTS-9) (EC 3.4.24.-)
P84157	P84157	Matrix-remodeling-associated protein 7
Q9NPG4	Q9NPG4	Protocadherin-12 (Vascular cadherin-2) (Vascular endothelial cadherin-2) (VE-cad-2) (VE-cadherin-2) [Cleaved into: Protocadherin-12, secreted form]
A0AUZ9	A0AUZ9	KAT8 regulatory NSL complex subunit 1-like protein (MSL1v2)
Q96I99	Q96I99	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial (EC 6.2.1.4) (GTP-specific succinyl-CoA synthetase subunit beta) (G-SCS) (GTPSCS) (Succinyl-CoA synthetase beta-G chain) (SCS-betaG)
Q9BYS8	Q9BYS8	Leucine-rich repeat-containing protein 2
Q9Y305	Q9Y305	Acyl-coenzyme A thioesterase 9, mitochondrial (Acyl-CoA thioesterase 9) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 9)
Q4G1C9	Q4G1C9	GLIPR1-like protein 2
Q7Z5Y7	Q7Z5Y7	BTB/POZ domain-containing protein KCTD20 (Potassium channel tetramerization domain containing 20)
P42696	P42696	RNA-binding protein 34 (RNA-binding motif protein 34)
Q9BRD0	Q9BRD0	BUD13 homolog
Q9NVV4	Q9NVV4	Poly(A) RNA polymerase, mitochondrial (PAP) (EC 2.7.7.19) (PAP-associated domain-containing protein 1) (Polynucleotide adenylyltransferase) (Terminal uridylyltransferase 1) (TUTase 1) (mtPAP)
Q7L0X0	Q7L0X0	TLR4 interactor with leucine rich repeats (Leucine-rich repeat-containing protein KIAA0644)
Q99679	Q99679	Probable G-protein coupled receptor 21
Q04671	Q04671	P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog)
Q6SJ93	Q6SJ93	Protein FAM111B (Cancer-associated nucleoprotein)
Q9UPE1	Q9UPE1	SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)
Q7Z6W7	Q7Z6W7	DnaJ homolog subfamily B member 7
Q8IZF4	Q8IZF4	Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27)
Q8N136	Q8N136	Dynein assembly factor with WDR repeat domains 1 (Outer row dynein assembly protein 16 homolog) (WD repeat-containing protein 69)
Q8WTQ4	Q8WTQ4	Uncharacterized protein C16orf78
Q9NTU7	Q9NTU7	Cerebellin-4 (Cerebellin-like glycoprotein 1)
P48595	P48595	Serpin B10 (Bomapin) (Peptidase inhibitor 10) (PI-10)
Q9HCE5	Q9HCE5	N6-adenosine-methyltransferase non-catalytic subunit (Methyltransferase-like protein 14) (hMETTL14)
Q8IYI0	Q8IYI0	Shieldin complex subunit 1 (RINN1-REV7-interacting novel NHEJ regulator 3) (Shield complex subunit 1)
Q8N0Z3	Q8N0Z3	Spindle and centriole-associated protein 1 (Coiled-coil domain-containing protein 52) (Spindle and centriole-associated protein)
Q9Y2Z2	Q9Y2Z2	Protein MTO1 homolog, mitochondrial
Q8IYM2	Q8IYM2	Schlafen family member 12
Q5VUJ5	Q5VUJ5	Putative Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 7 (AGAP-7) (Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 7 pseudogene) (Centaurin-gamma-like family member 4)
Q96P64	Q96P64	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4 (AGAP-4) (Centaurin-gamma-like family member 1) (Centaurin-gamma-like family member 5)
A6NIR3	A6NIR3	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5 (AGAP-5) (Centaurin-gamma-like family member 2)
O75901	O75901	Ras association domain-containing protein 9 (PAM COOH-terminal interactor protein 1) (P-CIP1) (Peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor)
Q6NSX1	Q6NSX1	Coiled-coil domain-containing protein 70
Q8N9W8	Q8N9W8	Protein FAM71D
Q6ZWH5	Q6ZWH5	Serine/threonine-protein kinase Nek10 (EC 2.7.11.1) (Never in mitosis A-related kinase 10) (NimA-related protein kinase 10)
Q5VTM2	Q5VTM2	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 9 (AGAP-9) (Centaurin-gamma-like family member 6)
A6NDS4	A6NDS4	TBC1 domain family member 3B
P35212	P35212	Gap junction alpha-4 protein (Connexin-37) (Cx37)
Q9BYJ1	Q9BYJ1	Hydroperoxide isomerase ALOXE3 (EC 5.4.4.7) (Epidermis-type lipoxygenase 3) (Epidermal LOX-3) (e-LOX-3) (eLOX-3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)
Q9Y2L9	Q9Y2L9	Leucine-rich repeat and calponin homology domain-containing protein 1 (Calponin homology domain-containing protein 1) (Neuronal protein 81) (NP81)
A6NKD9	A6NKD9	Coiled-coil domain-containing protein 85C
Q13342	Q13342	Nuclear body protein SP140 (Lymphoid-restricted homolog of Sp100) (LYSp100) (Nuclear autoantigen Sp-140) (Speckled 140 kDa)
Q8N9R8	Q8N9R8	Protein SCAI (Suppressor of cancer cell invasion protein)
Q8WXX7	Q8WXX7	Autism susceptibility gene 2 protein
Q96IG2	Q96IG2	F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like)
Q8NEZ5	Q8NEZ5	F-box only protein 22 (F-box protein FBX22p44)
Q6PEV8	Q6PEV8	Protein FAM199X
A8MW95	A8MW95	Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)
Q8N7J2	Q8N7J2	APC membrane recruitment protein 2 (Amer2) (Protein FAM123A)
Q9Y4F4	Q9Y4F4	TOG array regulator of axonemal microtubules protein 1 (Crescerin-1) (Protein FAM179B)
P42331	P42331	Rho GTPase-activating protein 25 (Rho-type GTPase-activating protein 25)
Q5JSL3	Q5JSL3	Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2)
Q8TAG5	Q8TAG5	V-set and transmembrane domain-containing protein 2A
Q9NUB4	Q9NUB4	Uncharacterized protein C20orf141
Q8IUR5	Q8IUR5	Protein O-mannosyl-transferase TMTC1 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 1)
Q96B77	Q96B77	Transmembrane protein 186
Q96FT7	Q96FT7	Acid-sensing ion channel 4 (ASIC4) (Amiloride-sensitive cation channel 4) (Amiloride-sensitive cation channel 4, pituitary)
O94876	O94876	Transmembrane and coiled-coil domains protein 1
Q10981	Q10981	Galactoside 2-alpha-L-fucosyltransferase 2 (EC 2.4.1.344) (EC 2.4.1.69) (Alpha(1,2)FT 2) (Fucosyltransferase 2) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 2) (SE2) (Secretor blood group alpha-2-fucosyltransferase) (Secretor factor) (Se)
Q96CG8	Q96CG8	Collagen triple helix repeat-containing protein 1 (Protein NMTC1)
Q9H0V9	Q9H0V9	VIP36-like protein (Lectin mannose-binding 2-like) (LMAN2-like protein)
Q9Y3D2	Q9Y3D2	Methionine-R-sulfoxide reductase B2, mitochondrial (MsrB2) (EC 1.8.4.12) (EC 1.8.4.14)
Q8IVB4	Q8IVB4	Sodium/hydrogen exchanger 9 (Na(+)/H(+) exchanger 9) (NHE-9) (Solute carrier family 9 member 9)
Q96MW1	Q96MW1	Coiled-coil domain-containing protein 43
Q8TC29	Q8TC29	Enkurin
Q9P2E7	Q9P2E7	Protocadherin-10
P38405	P38405	Guanine nucleotide-binding protein G(olf) subunit alpha (Adenylate cyclase-stimulating G alpha protein, olfactory type)
A6NCF5	A6NCF5	Kelch-like protein 33
Q86UN3	Q86UN3	Reticulon-4 receptor-like 2 (Nogo receptor-like 3) (Nogo-66 receptor homolog 1) (Nogo-66 receptor-related protein 2) (NgR2)
Q8N7A1	Q8N7A1	Kelch domain-containing protein 1
Q8NA23	Q8NA23	WD repeat-containing protein 31
Q9H511	Q9H511	Kelch-like protein 31 (BTB and kelch domain-containing protein 6) (Kelch repeat and BTB domain-containing protein 1) (Kelch-like protein KLHL)
Q9H5Y7	Q9H5Y7	SLIT and NTRK-like protein 6
Q9NW82	Q9NW82	WD repeat-containing protein 70
Q8IV38	Q8IV38	Ankyrin repeat and MYND domain-containing protein 2
P62891	P62891	60S ribosomal protein L39 (Large ribosomal subunit protein eL39)
Q2PPJ7	Q2PPJ7	Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (p220)
Q96PD7	Q96PD7	Diacylglycerol O-acyltransferase 2 (EC 2.3.1.20) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diglyceride acyltransferase 2)
Q9H0V1	Q9H0V1	Transmembrane protein 168
Q9Y5E4	Q9Y5E4	Protocadherin beta-5 (PCDH-beta-5)
Q8IXS0	Q8IXS0	Protein FAM217A
Q86WK9	Q86WK9	Membrane progestin receptor alpha (mPR alpha) (Membrane progesterone P4 receptor alpha) (Membrane progesterone receptor alpha) (Progesterone and adipoQ receptor family member 7) (Progestin and adipoQ receptor family member 7) (Progestin and adipoQ receptor family member VII)
Q6YFQ2	Q6YFQ2	Cytochrome c oxidase subunit 6B2 (Cancer/testis antigen 59) (CT59) (Cytochrome c oxidase subunit VIb isoform 2) (COX VIb-2) (Cytochrome c oxidase subunit VIb, testis-specific isoform)
Q9BXJ4	Q9BXJ4	Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)
Q14435	Q14435	Polypeptide N-acetylgalactosaminyltransferase 3 (EC 2.4.1.41) (Polypeptide GalNAc transferase 3) (GalNAc-T3) (pp-GaNTase 3) (Protein-UDP acetylgalactosaminyltransferase 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 3)
